"table_name","column_name","data_type","column_default","is_nullable","character_maximum_length","numeric_precision","numeric_scale","table_description","column_description"
affinity_gaming_13_week_cashflow,date,timestamp without time zone,,YES,,,,,
affinity_gaming_13_week_cashflow,wtd,double precision,,YES,,53,,,
affinity_gaming_13_week_cashflow,year,bigint,,YES,,64,0,,
affinity_gaming_13_week_cashflow,month,bigint,,YES,,64,0,,
affinity_gaming_13_week_cashflow,entity_name,text,,YES,,,,,
affinity_gaming_13_week_cashflow,entity_code,text,,YES,,,,,
affinity_gaming_13_week_cashflow,location_id,bigint,,YES,,64,0,,
affinity_gaming_13_week_cashflow,category_name,text,,YES,,,,,
affinity_gaming_13_week_cashflow,gl_name,text,,YES,,,,,
affinity_gaming_13_week_cashflow,gl_number,text,,YES,,,,,
affinity_gaming_13_week_cashflow,metric_order,bigint,,YES,,64,0,,
affinity_gaming_13_week_cashflow,entity_id,bigint,,YES,,64,0,,
affinity_gaming_13_week_cashflow,type,text,,YES,,,,,
affinity_gaming_balance_sheet,period,text,,YES,,,,,
affinity_gaming_balance_sheet,year,integer,,YES,,32,0,,
affinity_gaming_balance_sheet,month,integer,,YES,,32,0,,
affinity_gaming_balance_sheet,entity_id,integer,,YES,,32,0,,
affinity_gaming_balance_sheet,entity_name,text,,YES,,,,,
affinity_gaming_balance_sheet,entity_code,text,,YES,,,,,
affinity_gaming_balance_sheet,location_id,integer,,YES,,32,0,,
affinity_gaming_balance_sheet,category_name,text,,YES,,,,,
affinity_gaming_balance_sheet,metric_order,integer,,YES,,32,0,,
affinity_gaming_balance_sheet,subcategory_name,text,,YES,,,,,
affinity_gaming_balance_sheet,submetric_order,integer,,YES,,32,0,,
affinity_gaming_balance_sheet,sub_subgroup,text,,YES,,,,,
affinity_gaming_balance_sheet,subgroup_order,integer,,YES,,32,0,,
affinity_gaming_balance_sheet,gl_number,text,,YES,,,,,
affinity_gaming_balance_sheet,gl_name,text,,YES,,,,,
affinity_gaming_balance_sheet,ending_balance,double precision,,YES,,53,,,
affinity_gaming_balance_sheet,source,text,,YES,,,,,
affinity_gaming_cash_flow,source,text,,YES,,,,,
affinity_gaming_cash_flow,period,text,,YES,,,,,
affinity_gaming_cash_flow,year,integer,,YES,,32,0,,
affinity_gaming_cash_flow,month,integer,,YES,,32,0,,
affinity_gaming_cash_flow,entity_id,integer,,YES,,32,0,,
affinity_gaming_cash_flow,entity_name,text,,YES,,,,,
affinity_gaming_cash_flow,entity_code,text,,YES,,,,,
affinity_gaming_cash_flow,location_id,integer,,YES,,32,0,,
affinity_gaming_cash_flow,category_name,text,,YES,,,,,
affinity_gaming_cash_flow,metric_order,integer,,YES,,32,0,,
affinity_gaming_cash_flow,subcategory_name,text,,YES,,,,,
affinity_gaming_cash_flow,submetric_order,integer,,YES,,32,0,,
affinity_gaming_cash_flow,gl_name,text,,YES,,,,,
affinity_gaming_cash_flow,gl_number,integer,,YES,,32,0,,
affinity_gaming_cash_flow,mtd,double precision,,YES,,53,,,
affinity_gaming_cash_flow,ytd,double precision,,YES,,53,,,
affinity_gaming_cash_flow,ttm,double precision,,YES,,53,,,
affinity_gaming_entity_config_data,entity_name,text,,YES,,,,,
affinity_gaming_entity_config_data,entity_name,text,,YES,,,,,
affinity_gaming_entity_config_data,entity_name,text,,YES,,,,,
affinity_gaming_entity_config_data,entity_name,text,,YES,,,,,
affinity_gaming_entity_config_data,source_entity_id,integer,,YES,,32,0,,
affinity_gaming_entity_config_data,source_entity_id,integer,,YES,,32,0,,
affinity_gaming_entity_config_data,source_entity_id,integer,,YES,,32,0,,
affinity_gaming_entity_config_data,source_entity_id,integer,,YES,,32,0,,
affinity_gaming_entity_config_data,entity_id,integer,,YES,,32,0,,
affinity_gaming_entity_config_data,entity_id,integer,,YES,,32,0,,
affinity_gaming_entity_config_data,entity_id,integer,,YES,,32,0,,
affinity_gaming_entity_config_data,entity_id,integer,,YES,,32,0,,
affinity_gaming_entity_config_data,entity_code,text,,YES,,,,,
affinity_gaming_entity_config_data,entity_code,text,,YES,,,,,
affinity_gaming_entity_config_data,entity_code,text,,YES,,,,,
affinity_gaming_entity_config_data,entity_code,text,,YES,,,,,
affinity_gaming_entity_config_data,country_id,integer,,YES,,32,0,,
affinity_gaming_entity_config_data,country_id,integer,,YES,,32,0,,
affinity_gaming_entity_config_data,country_id,integer,,YES,,32,0,,
affinity_gaming_entity_config_data,country_id,integer,,YES,,32,0,,
affinity_gaming_entity_config_data,company_id,integer,,YES,,32,0,,
affinity_gaming_entity_config_data,company_id,integer,,YES,,32,0,,
affinity_gaming_entity_config_data,company_id,integer,,YES,,32,0,,
affinity_gaming_entity_config_data,company_id,integer,,YES,,32,0,,
affinity_gaming_entity_config_data,company_name,text,,YES,,,,,
affinity_gaming_entity_config_data,company_name,text,,YES,,,,,
affinity_gaming_entity_config_data,company_name,text,,YES,,,,,
affinity_gaming_entity_config_data,company_name,text,,YES,,,,,
affinity_gaming_entity_period_config_data,entity_id,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,entity_id,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,entity_id,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,entity_id,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,period_id,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,period_id,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,period_id,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,period_id,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,period,text,,YES,,,,,
affinity_gaming_entity_period_config_data,period,text,,YES,,,,,
affinity_gaming_entity_period_config_data,period,text,,YES,,,,,
affinity_gaming_entity_period_config_data,period,text,,YES,,,,,
affinity_gaming_entity_period_config_data,year,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,year,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,year,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,year,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,month,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,month,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,month,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,month,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,entity_period_id,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,entity_period_id,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,entity_period_id,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,entity_period_id,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,company_id,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,company_id,integer,,YES,,32,0,,
affinity_gaming_entity_period_config_data,company_id,integer,,YES,,32,0,,
