"view_name","column_name","data_type","view_description"
affinity_gaming_target_trial_balance,company_id,integer,
affinity_gaming_target_trial_balance,year,integer,
affinity_gaming_target_trial_balance,month,integer,
affinity_gaming_target_trial_balance,period,text,
affinity_gaming_target_trial_balance,entity_id,integer,
affinity_gaming_target_trial_balance,entity_name,text,
affinity_gaming_target_trial_balance,entity_code,text,
affinity_gaming_target_trial_balance,location_id,integer,
affinity_gaming_target_trial_balance,report_id,integer,
affinity_gaming_target_trial_balance,report_name,text,
affinity_gaming_target_trial_balance,category_id,integer,
affinity_gaming_target_trial_balance,category_name,text,
affinity_gaming_target_trial_balance,subcategory_id,integer,
affinity_gaming_target_trial_balance,subcategory_name,text,
affinity_gaming_target_trial_balance,sub_subgroup_id,integer,
affinity_gaming_target_trial_balance,sub_subgroup,text,
affinity_gaming_target_trial_balance,gl_name,text,
affinity_gaming_target_trial_balance,gl_number,text,
affinity_gaming_target_trial_balance,beginning_balance,double precision,
affinity_gaming_target_trial_balance,period_balance,double precision,
affinity_gaming_target_trial_balance,ending_balance,double precision,
affinity_gaming_target_trial_balance,debit,double precision,
affinity_gaming_target_trial_balance,credit,double precision,
affinity_gaming_target_trial_balance,metric_order,integer,
affinity_gaming_target_trial_balance,submetric_order,integer,
affinity_gaming_target_trial_balance,subgroup_order,integer,
affinity_gaming_target_trial_balance,source,text,
affinity_gaming_trial_balances_cpl,actindx,bigint,
affinity_gaming_trial_balances_cpl,year,bigint,
affinity_gaming_trial_balances_cpl,month,bigint,
affinity_gaming_trial_balances_cpl,period,text,
affinity_gaming_trial_balances_cpl,ledger_id,bigint,
affinity_gaming_trial_balances_cpl,period_balance,double precision,
affinity_gaming_trial_balances_cpl,debit,double precision,
affinity_gaming_trial_balances_cpl,credit,double precision,
affinity_gaming_trial_balances_cpl,entity_id,integer,
affinity_gaming_trial_balances_fla,actindx,bigint,
affinity_gaming_trial_balances_fla,year,bigint,
affinity_gaming_trial_balances_fla,month,bigint,
affinity_gaming_trial_balances_fla,period,text,
affinity_gaming_trial_balances_fla,ledger_id,bigint,
affinity_gaming_trial_balances_fla,period_balance,double precision,
affinity_gaming_trial_balances_fla,debit,double precision,
affinity_gaming_trial_balances_fla,credit,double precision,
affinity_gaming_trial_balances_fla,entity_id,integer,
affinity_gaming_trial_balances_hgi,actindx,bigint,
affinity_gaming_trial_balances_hgi,year,bigint,
affinity_gaming_trial_balances_hgi,month,bigint,
affinity_gaming_trial_balances_hgi,period,text,
affinity_gaming_trial_balances_hgi,ledger_id,bigint,
affinity_gaming_trial_balances_hgi,period_balance,double precision,
affinity_gaming_trial_balances_hgi,debit,double precision,
affinity_gaming_trial_balances_hgi,credit,double precision,
affinity_gaming_trial_balances_hgi,entity_id,integer,
affinity_gaming_trial_balances_hlk,actindx,bigint,
affinity_gaming_trial_balances_hlk,year,bigint,
affinity_gaming_trial_balances_hlk,month,bigint,
affinity_gaming_trial_balances_hlk,period,text,
affinity_gaming_trial_balances_hlk,ledger_id,bigint,
affinity_gaming_trial_balances_hlk,period_balance,double precision,
affinity_gaming_trial_balances_hlk,debit,double precision,
affinity_gaming_trial_balances_hlk,credit,double precision,
affinity_gaming_trial_balances_hlk,entity_id,integer,
affinity_gaming_trial_balances_hmt,actindx,bigint,
affinity_gaming_trial_balances_hmt,year,bigint,
affinity_gaming_trial_balances_hmt,month,bigint,
affinity_gaming_trial_balances_hmt,period,text,
affinity_gaming_trial_balances_hmt,ledger_id,bigint,
affinity_gaming_trial_balances_hmt,period_balance,double precision,
affinity_gaming_trial_balances_hmt,debit,double precision,
affinity_gaming_trial_balances_hmt,credit,double precision,
affinity_gaming_trial_balances_hmt,entity_id,integer,
affinity_gaming_trial_balances_hsj,actindx,bigint,
affinity_gaming_trial_balances_hsj,year,bigint,
affinity_gaming_trial_balances_hsj,month,bigint,
affinity_gaming_trial_balances_hsj,period,text,
affinity_gaming_trial_balances_hsj,ledger_id,bigint,
affinity_gaming_trial_balances_hsj,period_balance,double precision,
affinity_gaming_trial_balances_hsj,debit,double precision,
affinity_gaming_trial_balances_hsj,credit,double precision,
affinity_gaming_trial_balances_hsj,entity_id,integer,
affinity_gaming_trial_balances_prm,actindx,bigint,
affinity_gaming_trial_balances_prm,year,bigint,
affinity_gaming_trial_balances_prm,month,bigint,
affinity_gaming_trial_balances_prm,period,text,
affinity_gaming_trial_balances_prm,ledger_id,bigint,
affinity_gaming_trial_balances_prm,period_balance,double precision,
affinity_gaming_trial_balances_prm,debit,double precision,
affinity_gaming_trial_balances_prm,credit,double precision,
affinity_gaming_trial_balances_prm,entity_id,integer,
